0,1,2,3,4,5,6,7,8
,,,,,,,,
New Jersey Nets,93,Detroit Pistons,110,Box Score,,,,
Chicago Bulls,91,Cleveland Cavaliers,88,Box Score,,,,
Golden State Warriors,83,Phoenix Suns,100,Box Score,,,,
Los Angeles Lakers,112,Milwaukee Bucks,117,Box Score,,,,
Kansas City Kings,113,New York Knicks,120,Box Score,,,,
Kansas City Kings,108,Buffalo Braves,112,Box Score,,,,
Milwaukee Bucks,115,Denver Nuggets,133,Box Score,,,,
Seattle SuperSonics,84,Golden State Warriors,116,Box Score,,,,
Chicago Bulls,107,Houston Rockets,103,Box Score,,,,
Los Angeles Lakers,133,Indiana Pacers,120,Box Score,,,,
Detroit Pistons,96,Philadelphia 76ers,113,Box Score,,,,
Boston Celtics,109,San Antonio Spurs,114,Box Score,,,,
Cleveland Cavaliers,107,New Orleans Jazz,104,Box Score,,,,
New Orleans Jazz,111,New Jersey Nets,103,Box Score,,,,
Detroit Pistons,109,Washington Bullets,117,Box Score,,,,
Portland Trail Blazers,106,Seattle SuperSonics,99,Box Score,,,,
Houston Rockets,94,Kansas City Kings,95,Box Score,,,,
San Antonio Spurs,117,Golden State Warriors,122,Box Score,,,,
Los Angeles Lakers,101,Denver Nuggets,106,Box Score,,,,
Indiana Pacers,119,Chicago Bulls,122,Box Score,,,,
Cleveland Cavaliers,101,Atlanta Hawks,107,Box Score,,,,
New Jersey Nets,96,Buffalo Braves,101,Box Score,,,,
Denver Nuggets,106,Detroit Pistons,126,Box Score,,,,
Boston Celtics,98,Houston Rockets,110,Box Score,,,,
Kansas City Kings,101,Indiana Pacers,106,Box Score,,,,
Chicago Bulls,95,Milwaukee Bucks,113,Box Score,,,,
Washington Bullets,115,New York Knicks,141,Box Score,,,,
New Orleans Jazz,104,Philadelphia 76ers,103,Box Score,OT,,,
San Antonio Spurs,115,Portland Trail Blazers,130,Box Score,,,,
Phoenix Suns,104,Los Angeles Lakers,101,Box Score,,,,
San Antonio Spurs,112,Seattle SuperSonics,94,Box Score,,,,
Boston Celtics,85,Detroit Pistons,100,Box Score,,,,
Golden State Warriors,105,Chicago Bulls,98,Box Score,,,,
Denver Nuggets,104,Indiana Pacers,129,Box Score,,,,
San Antonio Spurs,107,Los Angeles Lakers,109,Box Score,,,,
Cleveland Cavaliers,117,New York Knicks,112,Box Score,OT,,,
Kansas City Kings,104,Philadelphia 76ers,112,Box Score,,,,
Seattle SuperSonics,86,Phoenix Suns,93,Box Score,,,,
Buffalo Braves,85,Portland Trail Blazers,107,Box Score,,,,
Atlanta Hawks,103,Boston Celtics,110,Box Score,,,,"at Hartford, CT"
Golden State Warriors,107,Detroit Pistons,123,Box Score,,,,
Buffalo Braves,92,Seattle SuperSonics,97,Box Score,,,,
New York Knicks,106,New Orleans Jazz,123,Box Score,,,,
Atlanta Hawks,113,New Jersey Nets,110,Box Score,OT,,,
Portland Trail Blazers,108,Denver Nuggets,111,Box Score,,,,
Kansas City Kings,119,Cleveland Cavaliers,104,Box Score,,,,
Milwaukee Bucks,110,Houston Rockets,133,Box Score,,,,
Los Angeles Lakers,95,Atlanta Hawks,102,Box Score,,,,
Philadelphia 76ers,94,Portland Trail Blazers,98,Box Score,,,,
Phoenix Suns,107,New Orleans Jazz,114,Box Score,,,,
Boston Celtics,109,New Jersey Nets,116,Box Score,,,,
Washington Bullets,127,Indiana Pacers,136,Box Score,,,,
Buffalo Braves,97,Golden State Warriors,104,Box Score,,,,
Seattle SuperSonics,97,Chicago Bulls,101,Box Score,,,,
Boston Celtics,98,Cleveland Cavaliers,103,Box Score,,,,
Buffalo Braves,111,Denver Nuggets,127,Box Score,,,,
Philadelphia 76ers,110,Golden State Warriors,113,Box Score,,,,
Phoenix Suns,112,Houston Rockets,125,Box Score,,,,
Washington Bullets,106,Kansas City Kings,120,Box Score,,,,
Detroit Pistons,117,New York Knicks,124,Box Score,,,,
Los Angeles Lakers,118,San Antonio Spurs,129,Box Score,,,,
Seattle SuperSonics,95,Milwaukee Bucks,108,Box Score,,,,
San Antonio Spurs,145,Phoenix Suns,143,Box Score,,,,
0,1,2,3,4,5,6,7,8
,,,,,,,,
Seattle SuperSonics,99,Atlanta Hawks,102,Box Score,,,,
Denver Nuggets,93,Cleveland Cavaliers,110,Box Score,,,,
Kansas City Kings,95,Milwaukee Bucks,115,Box Score,,,,
Chicago Bulls,88,New Orleans Jazz,99,Box Score,,,,
New York Knicks,104,Portland Trail Blazers,113,Box Score,,,,
Golden State Warriors,108,San Antonio Spurs,97,Box Score,,,,
Cleveland Cavaliers,104,Boston Celtics,101,Box Score,,,,
Denver Nuggets,100,Buffalo Braves,104,Box Score,,,,
Atlanta Hawks,102,Detroit Pistons,89,Box Score,,,,
Seattle SuperSonics,106,Indiana Pacers,104,Box Score,OT,,,
New Orleans Jazz,102,Kansas City Kings,104,Box Score,,,,
Los Angeles Lakers,107,New Jersey Nets,102,Box Score,,,,
Chicago Bulls,103,Philadelphia 76ers,102,Box Score,,,,
Milwaukee Bucks,91,Cleveland Cavaliers,100,Box Score,,,,
Golden State Warriors,111,Houston Rockets,113,Box Score,OT,,,
Phoenix Suns,110,San Antonio Spurs,89,Box Score,,,,
Denver Nuggets,109,Boston Celtics,107,Box Score,,,,
Buffalo Braves,100,Chicago Bulls,92,Box Score,,,,
Atlanta Hawks,111,Kansas City Kings,110,Box Score,,,,
Indiana Pacers,99,Los Angeles Lakers,111,Box Score,,,,
Houston Rockets,108,Milwaukee Bucks,110,Box Score,,,,
Philadelphia 76ers,107,New Jersey Nets,104,Box Score,,,,
Golden State Warriors,102,New Orleans Jazz,105,Box Score,,,,
New York Knicks,95,Seattle SuperSonics,92,Box Score,,,,
Phoenix Suns,96,Washington Bullets,113,Box Score,,,,
Golden State Warriors,94,Atlanta Hawks,100,Box Score,,,,
San Antonio Spurs,111,Buffalo Braves,101,Box Score,,,,
Phoenix Suns,94,Chicago Bulls,111,Box Score,,,,
New Jersey Nets,93,Cleveland Cavaliers,105,Box Score,,,,
Washington Bullets,105,Houston Rockets,116,Box Score,,,,
Denver Nuggets,101,Philadelphia 76ers,132,Box Score,,,,
Seattle SuperSonics,94,Portland Trail Blazers,116,Box Score,,,,
New York Knicks,106,Los Angeles Lakers,102,Box Score,,,,
Washington Bullets,108,New Orleans Jazz,97,Box Score,,,,
