,0,1,2,3,4,5,6,7,8
1,New Jersey Nets,93.0,Detroit Pistons,110.0,Box Score,,,,
2,Chicago Bulls,91.0,Cleveland Cavaliers,88.0,Box Score,,,,
3,Golden State Warriors,83.0,Phoenix Suns,100.0,Box Score,,,,
4,Los Angeles Lakers,112.0,Milwaukee Bucks,117.0,Box Score,,,,
5,Kansas City Kings,113.0,New York Knicks,120.0,Box Score,,,,
6,Kansas City Kings,108.0,Buffalo Braves,112.0,Box Score,,,,
7,Milwaukee Bucks,115.0,Denver Nuggets,133.0,Box Score,,,,
8,Seattle SuperSonics,84.0,Golden State Warriors,116.0,Box Score,,,,
9,Chicago Bulls,107.0,Houston Rockets,103.0,Box Score,,,,
10,Los Angeles Lakers,133.0,Indiana Pacers,120.0,Box Score,,,,
11,Detroit Pistons,96.0,Philadelphia 76ers,113.0,Box Score,,,,
12,Boston Celtics,109.0,San Antonio Spurs,114.0,Box Score,,,,
13,Cleveland Cavaliers,107.0,New Orleans Jazz,104.0,Box Score,,,,
14,New Orleans Jazz,111.0,New Jersey Nets,103.0,Box Score,,,,
15,Detroit Pistons,109.0,Washington Bullets,117.0,Box Score,,,,
16,Portland Trail Blazers,106.0,Seattle SuperSonics,99.0,Box Score,,,,
17,Houston Rockets,94.0,Kansas City Kings,95.0,Box Score,,,,
18,San Antonio Spurs,117.0,Golden State Warriors,122.0,Box Score,,,,
19,Los Angeles Lakers,101.0,Denver Nuggets,106.0,Box Score,,,,
20,Indiana Pacers,119.0,Chicago Bulls,122.0,Box Score,,,,
21,Cleveland Cavaliers,101.0,Atlanta Hawks,107.0,Box Score,,,,
22,New Jersey Nets,96.0,Buffalo Braves,101.0,Box Score,,,,
23,Denver Nuggets,106.0,Detroit Pistons,126.0,Box Score,,,,
24,Boston Celtics,98.0,Houston Rockets,110.0,Box Score,,,,
25,Kansas City Kings,101.0,Indiana Pacers,106.0,Box Score,,,,
26,Chicago Bulls,95.0,Milwaukee Bucks,113.0,Box Score,,,,
27,Washington Bullets,115.0,New York Knicks,141.0,Box Score,,,,
28,New Orleans Jazz,104.0,Philadelphia 76ers,103.0,Box Score,OT,,,
29,San Antonio Spurs,115.0,Portland Trail Blazers,130.0,Box Score,,,,
30,Phoenix Suns,104.0,Los Angeles Lakers,101.0,Box Score,,,,
31,San Antonio Spurs,112.0,Seattle SuperSonics,94.0,Box Score,,,,
32,Boston Celtics,85.0,Detroit Pistons,100.0,Box Score,,,,
33,Golden State Warriors,105.0,Chicago Bulls,98.0,Box Score,,,,
34,Denver Nuggets,104.0,Indiana Pacers,129.0,Box Score,,,,
35,San Antonio Spurs,107.0,Los Angeles Lakers,109.0,Box Score,,,,
36,Cleveland Cavaliers,117.0,New York Knicks,112.0,Box Score,OT,,,
37,Kansas City Kings,104.0,Philadelphia 76ers,112.0,Box Score,,,,
38,Seattle SuperSonics,86.0,Phoenix Suns,93.0,Box Score,,,,
39,Buffalo Braves,85.0,Portland Trail Blazers,107.0,Box Score,,,,
40,Atlanta Hawks,103.0,Boston Celtics,110.0,Box Score,,,,"at Hartford, CT"
41,Golden State Warriors,107.0,Detroit Pistons,123.0,Box Score,,,,
