Visitor/Neutral,PTS,Home/Neutral,PTS.1
Boston Celtics,129,Indiana Pacers,122
Buffalo Braves,133,Milwaukee Bucks,112
Los Angeles Lakers,97,New York Knicks,102
Houston Rockets,120,Atlanta Hawks,104
Chicago Bulls,95,Cleveland Cavaliers,106
New York Nets,104,Golden State Warriors,103
Denver Nuggets,123,Indiana Pacers,110
Detroit Pistons,99,Kansas City Kings,96
Phoenix Suns,98,New Orleans Jazz,111
San Antonio Spurs,121,Philadelphia 76ers,118
Los Angeles Lakers,103,Washington Bullets,84
Indiana Pacers,97,Chicago Bulls,102
New York Nets,104,Portland Trail Blazers,114
San Antonio Spurs,98,New York Knicks,117
Boston Celtics,111,Milwaukee Bucks,107
Phoenix Suns,126,Houston Rockets,129
Washington Bullets,98,Detroit Pistons,97
Kansas City Kings,99,Denver Nuggets,120
Philadelphia 76ers,105,Buffalo Braves,108
Milwaukee Bucks,91,Atlanta Hawks,115
Los Angeles Lakers,95,Cleveland Cavaliers,100
New York Nets,93,Seattle SuperSonics,104
Golden State Warriors,96,Portland Trail Blazers,110
Buffalo Braves,104,New York Knicks,118
Philadelphia 76ers,111,New Orleans Jazz,101
Seattle SuperSonics,90,Indiana Pacers,120
Milwaukee Bucks,88,Chicago Bulls,90
San Antonio Spurs,114,Atlanta Hawks,122
Los Angeles Lakers,115,Kansas City Kings,117
Seattle SuperSonics,92,Detroit Pistons,106
Philadelphia 76ers,116,Houston Rockets,94
Washington Bullets,93,New York Nets,96
Phoenix Suns,106,San Antonio Spurs,115
Buffalo Braves,105,Boston Celtics,112
New York Knicks,90,Cleveland Cavaliers,114
Milwaukee Bucks,100,Denver Nuggets,119
Portland Trail Blazers,92,Golden State Warriors,112
Washington Bullets,93,New Orleans Jazz,111
Detroit Pistons,103,Seattle SuperSonics,106
Indiana Pacers,90,New York Nets,89
Atlanta Hawks,101,Los Angeles Lakers,118
San Antonio Spurs,102,Kansas City Kings,130
Phoenix Suns,95,Chicago Bulls,82
Cleveland Cavaliers,109,Buffalo Braves,105
Phoenix Suns,107,Denver Nuggets,113
Atlanta Hawks,106,Golden State Warriors,114
Washington Bullets,92,Houston Rockets,105
Kansas City Kings,102,Indiana Pacers,112
Chicago Bulls,74,Milwaukee Bucks,102
New Orleans Jazz,115,New York Knicks,112
New York Nets,80,Philadelphia 76ers,104
Detroit Pistons,97,Portland Trail Blazers,131
Boston Celtics,126,San Antonio Spurs,117
New Orleans Jazz,92,Cleveland Cavaliers,106
Detroit Pistons,101,Los Angeles Lakers,121
Atlanta Hawks,112,Seattle SuperSonics,126
New York Knicks,101,Kansas City Kings,105
Cleveland Cavaliers,82,New York Nets,75
Detroit Pistons,98,Golden State Warriors,111
Seattle SuperSonics,113,Milwaukee Bucks,125
Boston Celtics,97,New Orleans Jazz,115
Atlanta Hawks,116,Portland Trail Blazers,129
New York Knicks,110,Denver Nuggets,119
Boston Celtics,111,Houston Rockets,117
San Antonio Spurs,97,Indiana Pacers,113
Seattle SuperSonics,106,Kansas City Kings,126
Buffalo Braves,96,New York Nets,100
Milwaukee Bucks,105,Washington Bullets,117
Chicago Bulls,87,Atlanta Hawks,97
Milwaukee Bucks,88,Cleveland Cavaliers,96
Philadelphia 76ers,101,Golden State Warriors,96
Washington Bullets,107,Boston Celtics,104
Denver Nuggets,99,Chicago Bulls,85
Buffalo Braves,122,Detroit Pistons,108
Indiana Pacers,103,Kansas City Kings,112
New York Knicks,126,Los Angeles Lakers,121
San Antonio Spurs,119,New Orleans Jazz,127
Houston Rockets,91,New York Nets,95
Philadelphia 76ers,104,Portland Trail Blazers,146
Phoenix Suns,84,Seattle SuperSonics,88
Detroit Pistons,110,Atlanta Hawks,105
Houston Rockets,102,Buffalo Braves,117
New York Nets,93,Cleveland Cavaliers,101
New York Knicks,112,Golden State Warriors,111
Denver Nuggets,105,Milwaukee Bucks,103
Indiana Pacers,94,San Antonio Spurs,113
Boston Celtics,103,Washington Bullets,109
Cleveland Cavaliers,97,Atlanta Hawks,107
Kansas City Kings,96,Los Angeles Lakers,107
Detroit Pistons,115,New Orleans Jazz,107
New York Knicks,93,Portland Trail Blazers,119
Philadelphia 76ers,91,Seattle SuperSonics,98
Los Angeles Lakers,116,Buffalo Braves,121
Houston Rockets,111,Chicago Bulls,92
Golden State Warriors,117,Denver Nuggets,123
Cleveland Cavaliers,111,Milwaukee Bucks,90
New York Nets,99,New Orleans Jazz,110
Washington Bullets,97,New York Knicks,106
Kansas City Kings,102,Portland Trail Blazers,119
Seattle SuperSonics,114,San Antonio Spurs,138
Los Angeles Lakers,112,Boston Celtics,117
Cleveland Cavaliers,112,Detroit Pistons,123
Seattle SuperSonics,97,Houston Rockets,99
Chicago Bulls,88,Philadelphia 76ers,103
New Orleans Jazz,103,Washington Bullets,116
Portland Trail Blazers,105,Atlanta Hawks,107
Denver Nuggets,94,Buffalo Braves,105
Kansas City Kings,94,Golden State Warriors,86
Indiana Pacers,98,Phoenix Suns,108
New York Nets,104,San Antonio Spurs,108
New Orleans Jazz,110,Boston Celtics,117
New York Knicks,97,Detroit Pistons,111
Indiana Pacers,106,Los Angeles Lakers,117
Houston Rockets,99,Milwaukee Bucks,111
Washington Bullets,104,Philadelphia 76ers,143
Kansas City Kings,97,Seattle SuperSonics,102
New Orleans Jazz,115,Atlanta Hawks,86
